timestamp,age,gender,city,position,total_experience_years,experience_years_germany,seniority_level,main_technology,yearly_salary_eur,yearly_bonus_stocks_eur,vacation_days,employment_status,contract_duration,work_language,company_size,company_type,job_loss_covid,age_range
2020-11-24 11:14:15,26,Male,Munich,Software Engineer,5.0,3.0,Senior,TypeScript,80000.0,5000,30,full_time,Unlimited contract,english,51-100,Product,no,25-34
2020-11-24 11:14:16,26,Male,Berlin,Backend Developer,7.0,4.0,Senior,Ruby,80000.0,0,28,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:14:21,29,Male,Berlin,Software Engineer,12.0,6.0,Lead,JavaScript,120000.0,120000,30,freelancer,Temporary contract,english,101-1000,Product,yes,25-34
2020-11-24 11:15:24,28,Male,Berlin,Frontend Developer,4.0,1.0,Junior,JavaScript,54000.0,0,24,full_time,Unlimited contract,english,51-100,Startup,no,25-34
2020-11-24 11:15:46,37,Male,Berlin,Backend Developer,17.0,6.0,Senior,C#,62000.0,0,29,full_time,Unlimited contract,english,101-1000,Product,no,35-40
2020-11-24 11:15:53,32,Male,Berlin,Devops,5.0,1.0,Senior,Python,76000.0,5000,30,full_time,Unlimited contract,english,11-50,Startup,no,25-34
2020-11-24 11:16:35,37,Male,Berlin,Frontend Developer,6.0,0.4,Middle,JavaScript,57000.0,0,24,full_time,Unlimited contract,english,11-50,Product,no,35-40
2020-11-24 11:16:44,24,Male,Berlin,Frontend Developer,5.0,1.0,Senior,TypeScript,65000.0,0,27,full_time,Unlimited contract,english,1000+,Product,no,20-24
2020-11-24 11:17:24,29,Male,Berlin,Backend Developer,8.0,2.0,Senior,PHP,56000.0,0,28,full_time,Unlimited contract,english,101-1000,Product,no,25-34
2020-11-24 11:17:50,35,Male,Berlin,Software Engineer,15.0,3.0,Lead,Java,95000.0,0,30,full_time,Unlimited contract,english,101-1000,Product,no,35-40
